trait
solemn
solid
solitary
sophisticated
sordid
spontaneous
sporting
stable
steadfast
steady
steely
stern
stiff
stoic
stoiid
strict
strong
strong-willed
stubborn
studious
stupid
stylish
suave
subjective
submissive
subtle
superficial
superstitious
surprising
suspicious
sweet
sympathetic
systematic
tactless
tasteful
tasteless
teacherly
tense
thievish
thorough
thoughtless
tidy
timid
tolerant
tough
tractable
transparent
treacherous
trendy
troublesome
trusting
unaggressive
unambitious
unappreciative
uncaring
unceremonious
unchanging
uncharitable
uncomplaining
unconvincing
uncooperative
uncreative
uncritical
unctuous
undemanding
understanding
undisciplined
undogmatic
unfathomable
unfoolable
unfriendly
ungrateful
unhealthy
unhurried
unimaginative
unimpressive
uninhibited
unlovable
unpatriotic
unpolished
unpredicatable
unprincipled
unrealistic
unreflective
unreliable
unreligious
unrestrained
unself-critical
unsentimental
unstable
upright
urbane
vacuous
vague
venal
venomous
venturesome
vindictive
vivacious
vulnerable
warm
weak
weak-willed
well-bred
well-meaning
well-read
well-rounded
whimsical
willful
winning
wise
wishful
witty
youthful
zany
